,brewery_id,brewery_id,brewery_id,brewery_id,brewery_id,brewery_id,brewery_id,brewery_id,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,abv,abv,abv,abv,abv,abv,abv,abv,ibu,ibu,ibu,ibu,ibu,ibu,ibu,ibu,id,id,id,id,id,id,id,id,ounces,ounces,ounces,ounces,ounces,ounces,ounces,ounces
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgian Dark Ale,11,59.63636364,112.2107595,10,10,10,26,368,11,602.6363636,620.9235497,36,406.5,420,429.5,2037,10,0.0745,0.016621606,0.052,0.06275,0.067,0.08825,0.099,3,29.66666667,10.11599394,18,26.5,35,35.5,36,11,1724.272727,767.354428,11,1547.5,1977,2153.5,2416,11,15.63636364,1.206045378,12,16,16,16,16
Belgian IPA,18,98.27777778,155.7708746,10,10,25.5,67.25,530,18,932.8888889,729.5290898,13,414.5,456,1607.25,2405,17,0.071352941,0.013462639,0.05,0.065,0.07,0.08,0.097,3,57,10.58300524,45,53,61,63,65,18,1849.777778,750.5730012,384,1448,2033,2492.5,2541,18,16.22222222,3.209463132,12,16,16,16,24
Belgian Pale Ale,24,177.1666667,159.5787026,1,24.25,187,262,522,24,1263.416667,745.9540093,75,626.5,1317.5,1903,2370,23,0.061173913,0.01409272,0.04,0.05,0.06,0.069,0.09,8,23.875,7.337525858,13,20,21,30.25,35,24,1641.458333,863.0282367,43,980,2002.5,2285,2680,24,14.5,4.222095091,12,12,12,16,32
Belgian Strong Dark Ale,6,195,158.7828706,10,57.25,202,329.5,375,6,884.1666667,559.4970658,52,533.5,991,1274.5,1521,6,0.083833333,0.007960318,0.07,0.08125,0.0855,0.089,0.092,1,72,,72,72,72,72,72,6,1532.5,726.1024032,627,944,1650,2080.75,2335,6,14.66666667,2.065591118,12,13,16,16,16
Belgian Strong Pale Ale,7,182,185.0846653,10,44,164,244,524,7,1569.857143,758.191363,404,1113,1771,2136.5,2315,7,0.084,0.008386497,0.075,0.08,0.08,0.087,0.099,2,25,0,25,25,25,25,25,7,1457.142857,960.5023735,113,660.5,1729,2302,2433,7,13.71428571,2.138089935,12,12,12,16,16
Berliner Weissbier,11,159.7272727,136.2417637,47,53.5,66,234.5,410,11,1165.363636,878.433637,42,605,873,1906,2355,11,0.043909091,0.007892459,0.034,0.0385,0.043,0.05,0.055,5,7.8,2.387467277,5,6,8,9,11,11,2232.818182,427.7241677,1417,1984.5,2520,2557.5,2573,11,13.45454545,3.697665111,12,12,12,12,24
Bière de Garde,7,50,52,10,10,10,96,118,7,1121.142857,877.4321301,393,427,440,1960,2241,7,0.064285714,0.009978548,0.045,0.0625,0.065,0.069,0.077,2,23,0,23,23,23,23,23,7,1439.428571,690.4285764,555,957,1352,1856.5,2542,7,14.28571429,2.138089935,12,12,16,16,16
Bock,7,229.4285714,136.8074768,132,137.5,143,278.5,499,7,1486.428571,797.2757484,358,980,1428,2142,2375,7,0.065,0.010424331,0.054,0.0555,0.065,0.0725,0.08,3,25,7,18,21.5,25,28.5,32,7,1656.428571,826.081081,315,1126,1972,2348.5,2359,7,14.28571429,2.138089935,12,12,16,16,16
Braggot,1,282,,282,282,282,282,282,1,2185,,2185,2185,2185,2185,2185,1,0.075,,0.075,0.075,0.075,0.075,0.075,0,,,,,,,,1,122,,122,122,122,122,122,1,12,,12,12,12,12,12
California Common / Steam Beer,6,204.1666667,148.9904919,21,81.25,239,283.5,399,6,717.5,863.2007298,100,200,222,1095.25,2182,6,0.0495,0.007063993,0.04,0.044,0.053,0.05375,0.056,2,41,19.79898987,27,34,41,48,55,6,1767.333333,671.5485587,645,1530.25,1910.5,2068,2614,6,14,2.19089023,12,12,14,16,16
Chile Beer,3,290,147.4720312,132,223,314,369,424,3,2133.666667,419.6431023,1650,2000,2350,2375.5,2401,3,0.050333333,0.009073772,0.042,0.0455,0.049,0.0545,0.06,2,24,5.656854249,20,22,24,26,28,3,1825.666667,498.9041324,1345,1568,1791,2066,2341,3,13.33333333,2.309401077,12,12,12,14,16
Cider,37,312.0540541,121.0449746,80,185,338,416,501,37,1293.810811,834.0792607,15,596,1317,1985,2392,37,0.060513514,0.007981303,0.048,0.051,0.065,0.068,0.069,0,,,,,,,,37,1592.702703,451.9704922,822,1341,1465,1985,2483,37,14.27027027,2.008988809,12,12,16,16,16
Cream Ale,29,206.7586207,151.4292987,3,94,171,331,493,29,1130.37931,711.6242193,106,554,1043,1736,2349,28,0.052857143,0.006198652,0.038,0.05,0.0545,0.056,0.063,18,20.33333333,9.905435228,4,18,20,28,35,29,1382,752.1808293,55,753,1351,2050,2663,29,13.24137931,1.883294462,12,12,12,16,16
Czech Pilsener,28,239.2142857,162.5553711,17,105.75,178,382.75,519,28,1249.857143,579.818408,235,943.5,1265,1672.5,2227,28,0.051107143,0.00410365,0.04,0.048,0.05,0.055,0.058,16,33.8125,9.253602902,21,29.5,33,35,55,28,1239.857143,615.1245411,7,920.5,1289,1499.25,2590,28,13.54285714,2.187409862,12,12,12,16,19.2
Doppelbock,7,142,117.0398792,10,56.5,97,236,302,7,1565.428571,774.9126525,395,976,1882,2214.5,2300,7,0.074714286,0.007341986,0.065,0.0695,0.075,0.081,0.082,2,24.5,0.707106781,24,24.25,24.5,24.75,25,7,2111,435.4602929,1510,1766,2162,2474.5,2624,7,14.28571429,2.138089935,12,12,16,16,16
Dortmunder / Export Lager,6,136.3333333,128.1806018,25,37.25,119.5,165,364,6,1425,795.0813795,323,933.5,1498.5,2059.75,2238,6,0.054833333,0.003656045,0.051,0.052,0.0545,0.057,0.06,5,23.8,4.086563348,17,24,24,27,27,6,1109,483.119033,626,708.25,1011.5,1526.25,1700,6,14.66666667,2.065591118,12,13,16,16,16
Dubbel,5,166.6,225.4746105,10,11,28,262,522,5,1719.4,773.1259923,405,1642,2128,2152,2270,5,0.0738,0.008348653,0.065,0.069,0.07,0.08,0.085,2,21,1.414213562,20,20.5,21,21.5,22,5,1308.2,1228.09393,25,94,1403,2418,2601,5,14.4,2.19089023,12,12,16,16,16
Dunkelweizen,4,166.5,105.6992589,10,152.5,207.5,221.5,241,4,1384,720.5280471,403,1208.5,1497.5,1673,2138,4,0.051,0.007071068,0.041,0.0485,0.0535,0.056,0.056,2,16,5.656854249,12,14,16,18,20,4,1938.75,569.6948745,1130,1814.75,2080,2204,2465,4,14,2.309401077,12,12,14,16,16
English Barleywine,3,17,13.85640646,1,13,25,25,25,3,1397,1149.228872,70,1062.5,2055,2060.5,2066,3,0.107666667,0.015011107,0.099,0.099,0.099,0.112,0.125,3,66.66666667,11.54700538,60,60,60,70,80,3,1376,1179.986017,394,721.5,1049,1867,2685,3,16,0,16,16,16,16,16
English Bitter,3,228.6666667,193.8977394,61,122.5,184,312.5,441,3,1734,300.9800658,1514,1562.5,1611,1844,2077,3,0.044333333,0.00450925,0.04,0.042,0.044,0.0465,0.049,3,30.66666667,5.507570547,27,27.5,28,32.5,37,3,928.3333333,1045.709966,19,357,695,1383,2071,3,14.66666667,2.309401077,12,14,16,16,16
English Brown Ale,18,204.9444444,168.6477262,0,67.25,174.5,277,547,18,1343.944444,657.9226195,81,977,1459.5,1818.75,2293,18,0.054388889,0.007138453,0.045,0.04925,0.0535,0.05575,0.069,10,23.2,7.927448798,15,19.25,20.5,24.25,40,18,1483.388889,783.9183735,337,799.75,1656.5,1981,2690,18,13.77777778,3.135293505,12,12,12,16,24
English Dark Mild Ale,6,296.5,171.41266,165,168.75,209.5,434,531,6,880,422.3088917,370,575.75,839.5,1161,1475,4,0.0415,0.004041452,0.038,0.03875,0.0405,0.04325,0.047,2,22,5.656854249,18,20,22,24,26,6,1094.666667,848.8431343,439,455.75,676,1741.5,2298,6,13.33333333,2.065591118,12,12,12,15,16
English India Pale Ale (IPA),13,284.7692308,137.7534959,53,210,268,431,508,13,1078.538462,753.1791083,223,457,1007,1809,2139,12,0.062333333,0.00803779,0.044,0.0585,0.063,0.0685,0.071,7,54.71428571,19.83023185,40,43,47,58,94,13,1434.153846,636.6850145,530,849,1362,1926,2558,13,13.53846154,2.025478734,12,12,12,16,16
English Pale Ale,12,349.25,136.0956382,128,298,329.5,481,557,12,1023.583333,799.0408407,58,259,988.5,1724.25,2324,12,0.052333333,0.003821788,0.045,0.05,0.0525,0.055,0.059,5,31.4,9.476286192,17,30,30,40,40,12,664.6666667,662.8153909,30,113.75,448.5,1095,1763,12,13,1.809068067,12,12,12,13,16
English Pale Mild Ale,3,385.6666667,88.91194146,283,360,437,437,437,3,541,142.0316866,458,459,460,582.5,705,3,0.046666667,0.002886751,0.045,0.045,0.045,0.0475,0.05,1,16,,16,16,16,16,16,3,989.6666667,804.3707686,328,542,756,1320.5,1885,3,12,0,12,12,12,12,12
English Stout,2,148.5,23.33452378,132,140.25,148.5,156.75,165,2,1644.5,993.4850276,942,1293.25,1644.5,1995.75,2347,1,0.08,,0.08,0.08,0.08,0.08,0.08,1,66,,66,66,66,66,66,2,1393,1344.917098,442,917.5,1393,1868.5,2344,2,14,2.828427125,12,13,14,15,16
English Strong Ale,4,297.75,187.9971188,27,258.75,352,391,460,4,304.25,394.3419624,31,48.25,155,411,876,4,0.08175,0.007675719,0.072,0.078,0.0825,0.08625,0.09,3,54,5.291502622,50,51,52,56,60,4,1299.75,719.2720278,531,878.25,1225,1646.5,2218,4,13,2,12,12,12,13,16
Euro Dark Lager,5,219,138.4413233,82,116,165,342,390,5,1057.8,536.5344351,198,944,1154,1446,1547,5,0.0526,0.006426508,0.042,0.051,0.056,0.057,0.057,4,27,12.11060142,19,20.5,22,28.5,45,5,1562,677.7252393,440,1527,1678,1978,2187,5,13.6,2.19089023,12,12,12,16,16
